description,industry,level,size,line_code,value,standard
Percentage of staff with internet access: 1-25%,total,0,6–19 employees,B0300.01,6819,High
Percentage of staff with internet access: 1-25%,total,0,20–49 employees,B0300.01,1344,High
Percentage of staff with internet access: 1-25%,total,0,50–99 employees,B0300.01,423,Low
Percentage of staff with internet access: 1-25%,total,0,100+ employees,B0300.01,270,Low
Percentage of staff with internet access: 1-25%,"Agriculture, forestry, & fishing",1,total,B0300.01,1344,High
Percentage of staff with internet access: 1-25%,Agriculture,2,total,B0300.01,864,Low
Percentage of staff with internet access: 1-25%,Commercial fishing,2,total,B0300.01,12,Low
Percentage of staff with internet access: 1-25%,Forestry & logging,2,total,B0300.01,153,Low
Percentage of staff with internet access: 1-25%,"Agriculture, forestry, & fishing support services",2,total,B0300.01,318,Low
Percentage of staff with internet access: 1-25%,Mining,1,total,B0300.01,27,Low
Percentage of staff with internet access: 1-25%,Manufacturing,1,total,B0300.01,1359,High
Percentage of staff with internet access: 1-25%,"Food, beverage, & tobacco",2,total,B0300.01,342,Low
Percentage of staff with internet access: 1-25%,"Textile, clothing, footwear, & leather",2,total,B0300.01,90,Low
Percentage of staff with internet access: 1-25%,Wood & paper product,2,total,B0300.01,153,Low
Percentage of staff with internet access: 1-25%,"Printing, publishing, & recorded media",2,total,B0300.01,12,Low
Percentage of staff with internet access: 1-25%,"Petroleum, coal, chemical, & associated product",2,total,B0300.01,117,Low
Percentage of staff with internet access: 1-25%,Non-metallic mineral product,2,total,B0300.01,60,Low
Percentage of staff with internet access: 1-25%,Metal product,2,total,B0300.01,267,Low
Percentage of staff with internet access: 1-25%,Transport and industrial machinery & equipment,2,total,B0300.01,249,Low
Percentage of staff with internet access: 1-25%,Other machinery & equipment,2,total,B0300.01,15,Low
Percentage of staff with internet access: 1-25%,Other manufacturing,2,total,B0300.01,57,Low
Percentage of staff with internet access: 1-25%,"Electricity, gas, water, & waste services",1,total,B0300.01,36,Low
Percentage of staff with internet access: 1-25%,Construction,1,total,B0300.01,1683,High
Percentage of staff with internet access: 1-25%,Wholesale trade,1,total,B0300.01,228,Low
